1;Juan;Pérez;Calle 1;+34 600 100 200;30;+34 600 100 210;1
2;Pedro;González;Calle 2;+34 600 100 201;31;+34 600 100 211;1
3;María;Martínez;Calle 3;+34 600 100 202;32;+34 600 100 212;2
4;Ana;Gómez;Calle 4;+34 600 100 203;33;+34 600 100 213;1
5;Carlos;Fernández;Calle 5;+34 600 100 204;34;+34 600 100 214;1
6;Luis;López;Calle 6;+34 600 100 205;35;+34 600 100 215;1
7;Fernanda;Díaz;Calle 7;+34 600 100 206;36;+34 600 100 216;1
8;Julia;Morales;Calle 8;+34 600 100 207;37;+34 600 100 217;1
9;David;Ramírez;Calle 9;+34 600 100 208;38;+34 600 100 218;2
10;Paula;Castro;Calle 10;+34 600 100 209;39;+34 600 100 219;2
11;Juan;González;Calle 11;+34 600 100 210;40;+34 600 100 220;3
12;Pedro;Martínez;Calle 12;+34 600 100 211;41;+34 600 100 221;1
13;María;Gómez;Calle 13;+34 600 100 212;42;+34 600 100 222;3
14;Ana;Fernández;Calle 14;+34 600 100 213;43;+34 600 100 223;1
15;Carlos;López;Calle 15;+34 600 100 214;44;+34 600 100 224;2
